"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"CD_ESFERA_PARTIDARIA";"DS_ESFERA_PARTIDARIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_CNPJ_PRESTADOR_CONTA";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"CD_TIPO_FORNECEDOR";"DS_TIPO_FORNECEDOR";"CD_CNAE_FORNECEDOR";"DS_CNAE_FORNECEDOR";"NR_CPF_CNPJ_FORNECEDOR";"NM_FORNECEDOR";"NM_FORNECEDOR_RFB";"CD_ESFERA_PART_FORNECEDOR";"DS_ESFERA_PART_FORNECEDOR";"SG_UF_FORNECEDOR";"CD_MUNICIPIO_FORNECEDOR";"NM_MUNICIPIO_FORNECEDOR";"SQ_CANDIDATO_FORNECEDOR";"NR_CANDIDATO_FORNECEDOR";"CD_CARGO_FORNECEDOR";"DS_CARGO_FORNECEDOR";"NR_PARTIDO_FORNECEDOR";"SG_PARTIDO_FORNECEDOR";"NM_PARTIDO_FORNECEDOR";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"SQ_DESPESA";"DT_DESPESA";"DS_DESPESA";"VR_DESPESA_CONTRATADA"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"27/01/2020";246956109;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"29408986000115";25;"DEM";"Democratas";1;"PESSOA JURÍDICA";"-1";"#NULO";"-1";"#NULO";"#NULO";"F";"Federal (Estadual/Distrital)";"#NULO#";-1;"#NULO";-1;-1;-1;"#NULO";-1;"#NULO";"#NULO";"#NULO";"#NULO#";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";25450574;"23/10/2018";"TARIFA DE DOC/TED ELETRONICO";"10,15"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"13/11/2018";246954955;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"03518656000199";14;"PTB";"Partido Trabalhista Brasileiro";1;"PESSOA JURÍDICA";"94928";"Atividades de organizações políticas";"31193569000144";"ELEIÇAO 2018 PAULO ROBERTO MATHIAS DEPUTADO FEDERAL";"ELEICAO 2018 PAULO ROBERTO MATHIAS DEPUTADO FEDERAL";"F";"Federal (Estadual/Distrital)";"RJ";-1;"#NULO";190000607458;1421;6;"Deputado Federal";14;"PTB";"Partido Trabalhista Brasileiro";"#NULO";"#NULO#";20240000;"Doações financeiras a outros candidatos/partidos";23703403;"26/09/2018";"#NULO";"30000,00"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"05/11/2018";246955393;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"01669171000170";40;"PSB";"Partido Socialista Brasileiro";1;"PESSOA JURÍDICA";"-1";"#NULO";"-1";"#NULO";"#NULO";"F";"Federal (Estadual/Distrital)";"#NULO#";-1;"#NULO";-1;-1;-1;"#NULO";-1;"#NULO";"#NULO";"#NULO";"#NULO#";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";22129357;"28/09/2018";"TARIFA DOC/TED";"10,15"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"05/11/2018";246956797;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"07959911000190";10;"PRB";"Partido Republicano Brasileiro";1;"PESSOA JURÍDICA";"-1";"#NULO";"-1";"#NULO";"#NULO";"F";"Federal (Estadual/Distrital)";"#NULO#";-1;"#NULO";-1;-1;-1;"#NULO";-1;"#NULO";"#NULO";"#NULO";"#NULO#";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";22219738;"02/10/2018";"TARIFA DOC/TED ELETRONICO";"10,15"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"03/06/2020";246955066;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"08810753000174";11;"PP";"Progressistas";1;"PESSOA JURÍDICA";"-1";"#NULO";"-1";"#NULO";"#NULO";"F";"Federal (Estadual/Distrital)";"#NULO#";-1;"#NULO";-1;-1;-1;"#NULO";-1;"#NULO";"#NULO";"#NULO";"#NULO#";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";25486543;"08/10/2018";"TARIFA";"64,00"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"27/01/2020";246956109;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"29408986000115";25;"DEM";"Democratas";1;"PESSOA JURÍDICA";"94928";"Atividades de organizações políticas";"31192833000125";"ELEIÇÃO 2018 FABIO FRANCISCO DA SILVA";"ELEICAO 2018 FABIO FRANCISCO DA SILVA DEPUTADO ESTADUAL";"F";"Federal (Estadual/Distrital)";"RJ";-1;"#NULO";190000608982;25097;7;"Deputado Estadual";25;"DEM";"Democratas";"#NULO";"#NULO#";20240000;"Doações financeiras a outros candidatos/partidos";25450473;"19/09/2018";"#NULO";"50000,00"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"21/07/2020";246955582;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"03582180000155";43;"PV";"Partido Verde";1;"PESSOA JURÍDICA";"94928";"Atividades de organizações políticas";"31244202000102";"CLAUDIA DA ROCHA ROMA";"ELEICAO 2018 CLAUDIA DA ROCHA ROMA DEPUTADO ESTADUAL";"F";"Federal (Estadual/Distrital)";"RJ";-1;"#NULO";190000625128;43456;7;"Deputado Estadual";43;"PV";"Partido Verde";"#NULO";"#NULO#";20240000;"Doações financeiras a outros candidatos/partidos";25491997;"29/08/2018";"#NULO";"15000,00"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"03/06/2020";246955066;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"08810753000174";11;"PP";"Progressistas";1;"PESSOA JURÍDICA";"-1";"#NULO";"-1";"#NULO";"#NULO";"F";"Federal (Estadual/Distrital)";"#NULO#";-1;"#NULO";-1;-1;-1;"#NULO";-1;"#NULO";"#NULO";"#NULO";"#NULO#";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";25486442;"18/09/2018";"TARIFA";"2,50"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"05/11/2018";246956797;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"07959911000190";10;"PRB";"Partido Republicano Brasileiro";1;"PESSOA JURÍDICA";"-1";"#NULO";"-1";"#NULO";"#NULO";"F";"Federal (Estadual/Distrital)";"#NULO#";-1;"#NULO";-1;-1;-1;"#NULO";-1;"#NULO";"#NULO";"#NULO";"#NULO#";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";22219513;"24/08/2018";"TARIFA DOC/TED ELETRONICO";"10,15"
"07/06/2026";"03:00:14";2018;2;"ORDINÁRIA";"FINAL";"10/06/2019";246956955;"F";"Federal (Estadual/Distrital)";"RJ";"RJ";"RIO DE JANEIRO";-1;"#NULO";"31607575000109";65;"PC do B";"Partido Comunista do Brasil";1;"PESSOA JURÍDICA";"-1";"#NULO";"-1";"#NULO";"#NULO";"F";"Federal (Estadual/Distrital)";"#NULO#";-1;"#NULO";-1;-1;-1;"#NULO";-1;"#NULO";"#NULO";"#NULO";"#NULO#";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";25137723;"25/09/2018";"TARIFA PROCESSAMENTO CHEQUE";"2,50"
