"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"06/07/2022";247007220;"MA";"Nota Fiscal";"850025";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";0;"Cheque";41507026;28119910;"10/10/2018";"SANTINHO IRMÃO MACHADO TAM 6X9CM 4X4 EM PAPEL COUC";"3500,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"06/07/2022";247007220;"MA";"Nota Fiscal";"850024";2;"Fundo Especial de Financiamento de Campanha";20360000;"Serviços próprios prestados por terceiros";1;"Financeiro";0;"Cheque";41507036;28119908;"17/09/2018";"VLR REFERENTE A SERVIÇOS DE ADVOCACIA";"20000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"06/07/2022";247007220;"MA";"Outro";"850022";2;"Fundo Especial de Financiamento de Campanha";20360000;"Serviços próprios prestados por terceiros";1;"Financeiro";0;"Cheque";41507021;28119911;"05/09/2018";"PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"12000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"27/06/2019";247007770;"MA";"Nota Fiscal";"850003";0;"Fundo Partidário";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";25152731;17361217;"29/08/2018";"REF. AO ALUGUEL DE ONIBUS DO INTERIOR PARA SEDE";"3000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"12/12/2019";247009239;"MA";"Nota Fiscal";"550020000039934";0;"Fundo Partidário";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";25440916;17665224;"13/09/2018";"BOTTON FLAVIO DINO/MEIRE MADEIRA | CARTAZ 44X64 FLAVIO DINO/MEIRE MADEIRA | SANTINHO FLAVIO DINO/MEIRE MADEIRA";"2150,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/10/2019";247007346;"MA";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25312534;17532186;"11/09/2018";"TARIFAS BANCARIAS NESTA DATA";"1,15"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"12/12/2019";247009239;"MA";"Nota Fiscal";"#NULO";1;"Outros Recursos";20170000;"Energia elétrica";1;"Financeiro";8;"Débito em conta";25440910;17665229;"14/09/2018";"CONSUMO ENERGIA ELETRICA NO PERIODO 16/07 A 27/08";"5415,69"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/10/2019";247007346;"MA";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25312631;17532235;"19/10/2018";"DESPESAS COM TARIFAS BANCARIAS NESTA DATA | DESPESAS COM TARIFAS BANCARIAS NESTA DATA | DESPESAS COM TARIFAS BANCARIAS NESTA DATA | DESPESAS COM TARIFAS BANCARIAS NESTA DATA";"18,40"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/10/2019";247007346;"MA";"#NULO";"551612000038062";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";25312624;17532182;"04/09/2018";"#NULO";"50000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"10/12/2019";247007892;"MA";"#NULO";"850001";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";0;"Cheque";25439443;17663978;"02/10/2018";"#NULO";"45000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"06/07/2022";247007220;"MA";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";41507018;28119893;"13/09/2018";"TARIFA BANCARIA REFERENTE A 13/09/2018";"1,15"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"12/12/2019";247009239;"MA";"#NULO";"#NULO";0;"Fundo Partidário";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25440888;17665238;"13/09/2018";"TARIFA TRANFERENCIA DE RECURSOS";"1,15"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"26/06/2019";247008574;"MA";"#NULO";"#NULO";0;"Fundo Partidário";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25151550;17359998;"18/06/2018";"435-TARIFA DE PACOTE DE SERVIÇOS 13113 DOC. 821690";"43,40"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"18/12/2019";247008646;"MA";"#NULO";"175455";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";25444565;17670588;"10/09/2018";"#NULO";"30000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"10/12/2019";247006540;"MA";"#NULO";"852530800678623";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";6;"Boleto de cobrança";25439471;17664017;"10/09/2018";"TARIFA FORNECIMENTO CHEQUE";"33,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"18/12/2019";247007527;"MA";"#NULO";"554323000039927";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";25445860;17670890;"23/08/2018";"#NULO";"170000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"06/07/2022";247007220;"MA";"#NULO";"554323000040007";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";41507033;28119903;"12/09/2018";"#NULO";"20000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/10/2019";247007346;"MA";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25312532;17532178;"04/09/2018";"TARIFAS DE PROCESSAMENTO DE CHEQUES";"2,50"
