"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"03/12/2018";247049836;"PR";"Recibo";"900004";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24546978;16738696;"28/11/2018";"SERVICOS DE ASSESSORAMENTO PRESTACAO DE CONTAS";"150,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850535";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513705;16702275;"06/10/2018";"AGENTE DE CAMPO";"50,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850599";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513496;16702292;"06/10/2018";"AGENTE DE CAMPO";"50,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850053";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24514065;16702308;"27/09/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"76,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850250";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24514065;16702309;"06/10/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"350,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850632";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513612;16702315;"06/10/2018";"AGENTE DE CAMPO";"50,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850088";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513613;16702317;"27/09/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"76,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850257";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513613;16702318;"06/10/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"350,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850104";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513406;16702407;"27/09/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"76,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850285";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513406;16702408;"06/10/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"350,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850652";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513408;16702438;"06/10/2018";"AGENTE DE CAMPO";"50,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850014";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513899;16702447;"27/09/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"76,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850479";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513899;16702448;"06/10/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"350,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850612";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513724;16702473;"06/10/2018";"AGENTE DE CAMPO";"50,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"05/12/2018";247054386;"PR";"Nota Fiscal";"850007";1;"Outros Recursos";20150000;"Alimentação";1;"Financeiro";0;"Cheque";24598611;16796173;"28/09/2018";"AGUA ROYAL";"117,60"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"05/12/2018";247054386;"PR";"Nota Fiscal";"850009";1;"Outros Recursos";20270000;"Diversas a especificar";1;"Financeiro";0;"Cheque";24598902;16796203;"04/10/2018";"ELASTICO C 100 GRAMAS";"21,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"05/12/2018";247054386;"PR";"Fatura";"100401";0;"Fundo Partidário";20160000;"Água";1;"Financeiro";1;"Transferência eletrônica";24598957;16796212;"04/10/2018";"SANEPAR AGUA E ESGOTO";"351,59"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"05/12/2018";247054386;"PR";"Fatura";"100502";0;"Fundo Partidário";20300000;"Telefone";1;"Financeiro";1;"Transferência eletrônica";24598733;16796216;"05/10/2018";"TELEFONE";"104,66"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"05/12/2018";247054386;"PR";"Nota Fiscal";"850010";1;"Outros Recursos";20270000;"Diversas a especificar";1;"Financeiro";0;"Cheque";24598959;16796225;"08/10/2018";"CONFECÇÃO DE CHAVE";"90,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"05/12/2018";247054386;"PR";"Nota Fiscal";"850010";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";24598735;16796230;"08/10/2018";"GASOLINA";"96,06"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850134";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513884;16702260;"27/09/2018";"AGENTE DE CAMPOA | VALE TRANSPORTE";"76,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850236";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513884;16702261;"06/10/2018";"AGENTE DE CAMPOA | VALE TRANSPORTE";"350,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850015";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513708;16702306;"27/09/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"76,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850252";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513708;16702307;"06/10/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"350,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/07/2019";247054864;"PR";"Fatura";"850004";1;"Outros Recursos";20160000;"Água";1;"Financeiro";0;"Cheque";25157819;17367009;"29/10/2018";"ÁGUA E ESGOTO MATRÍCULA 07388195 REF. 09/2018";"356,63"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/07/2019";247054864;"PR";"Fatura";"850004";1;"Outros Recursos";20170000;"Energia elétrica";1;"Financeiro";0;"Cheque";25157821;17367012;"29/10/2018";"ENERGIA ELÉTRICA UNIDADE 55798306 REF. 10/2018";"227,09"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/07/2019";247054864;"PR";"Outro";"850001";1;"Outros Recursos";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";0;"Cheque";25157824;17367016;"25/10/2018";"LOCAÇÃO DO IMÓVEL AV. RIO BRANCO· 796· MARINGÁ/PR";"5000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850133";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513441;16702784;"27/09/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"75,60"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850219";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513441;16702785;"06/10/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"350,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850674";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513402;16702331;"06/10/2018";"AGENTE DE CAMPO";"50,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850181";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513714;16702350;"27/09/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"76,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850570";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513714;16702351;"06/10/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"350,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850131";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513806;16702451;"27/09/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"76,50"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"01/12/2018";247052739;"PR";"Outro";"850476";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24513806;16702452;"06/10/2018";"AGENTE DE CAMPO | VALE TRANSPORTE";"350,00"
