"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"07/11/2018";246981021;"SC";"Nota Fiscal";"900002";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";23435581;15570671;"01/11/2018";"SERVIÇOS DE HONORÁRIOS ADVOCATICIOS";"100,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"21/10/2019";246981284;"SC";"Nota Fiscal";"82901";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";25356046;17579496;"29/08/2018";"ETIQUETAS ADESIVAS | PANFLETOS - INSTITUCIONAL | PANFLETOS - NÃO JOGUE SEU VOTO NO LIXO | PANFLETOS - PRESIDENTE";"1575,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"21/10/2019";246981284;"SC";"Nota Fiscal";"83002";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";25356099;17579497;"30/08/2018";"ADESIVO IMPRESSÃO DIGITAL";"210,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"21/10/2019";246981284;"SC";"Nota Fiscal";"92506";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";25356032;17579527;"25/09/2018";"BANDEIRA";"1245,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"11/02/2019";246983497;"SC";"Nota Fiscal";"850102";1;"Outros Recursos";20200000;"Eventos de promoção da candidatura";1;"Financeiro";0;"Cheque";24898883;17102186;"04/09/2018";"SERVIÇO DE SOM / LUZ PALCO EM REUNIAO PARTIDÁRIA";"4409,55"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"21/11/2018";246983559;"SC";"Fatura";"00129520";1;"Outros Recursos";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";1;"Transferência eletrônica";24162423;16318943;"19/09/2018";"PAGAMENTO DE ALUGUEL DE IMÓVEL";"587,61"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"21/11/2018";246983559;"SC";"Fatura";"#NULO";1;"Outros Recursos";20170000;"Energia elétrica";1;"Financeiro";8;"Débito em conta";24162422;16318947;"31/10/2018";"PGTO FATURA ENERGIA ELÉTRICA REF. 10/2018";"3,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"07/01/2020";246982864;"SC";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";25446596;17671685;"01/10/2018";"TARIFA TRANSF RECURSOS";"1,15"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"06/11/2018";246981326;"SC";"#NULO";"852690";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";0;"Cheque";22452308;14498440;"01/11/2018";"#NULO";"97487,67"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"18/12/2019";246982259;"SC";"#NULO";"177807";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";25445781;17670854;"24/09/2018";"#NULO";"10000,00"
