"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"30/01/2019";246964311;"TO";"Nota Fiscal";"551505000085575";2;"Fundo Especial de Financiamento de Campanha";20220000;"Produção de programas de rádio, televisão ou vídeo";1;"Financeiro";1;"Transferência eletrônica";24869551;17071533;"14/09/2018";"PRESTAÇÃO DE SERVIÇOS COM PRODUÇÃO D VT S E ETC | PRESTAÇÃO DE SERVIÇOS PRODUTORA";"76000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"30/01/2019";246964311;"TO";"Nota Fiscal";"551505000065907";2;"Fundo Especial de Financiamento de Campanha";20220000;"Produção de programas de rádio, televisão ou vídeo";1;"Financeiro";1;"Transferência eletrônica";24869551;17071534;"04/09/2018";"PRESTAÇÃO DE SERVIÇOS COM PRODUÇÃO D VT S E ETC | PRESTAÇÃO DE SERVIÇOS PRODUTORA";"76000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"30/01/2019";246964311;"TO";"Nota Fiscal";"551505000085575";0;"Fundo Partidário";20220000;"Produção de programas de rádio, televisão ou vídeo";1;"Financeiro";1;"Transferência eletrônica";24869551;17071535;"24/08/2018";"PRESTAÇÃO DE SERVIÇOS COM PRODUÇÃO D VT S E ETC | PRESTAÇÃO DE SERVIÇOS PRODUTORA";"76000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"30/01/2019";246964311;"TO";"Nota Fiscal";"551505000065907";2;"Fundo Especial de Financiamento de Campanha";20900000;"Passagem Aérea";1;"Financeiro";1;"Transferência eletrônica";24869642;17071495;"10/09/2018";"PASSAGEM AEREA";"7247,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"30/01/2019";246964311;"TO";"Nota Fiscal";"851439";0;"Fundo Partidário";20190000;"Pesquisas ou testes eleitorais";1;"Financeiro";0;"Cheque";24869650;17071537;"22/08/2018";"PESQUISAS ELEITORAIS";"25000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"30/01/2019";246964311;"TO";"Nota Fiscal";"90502";2;"Fundo Especial de Financiamento de Campanha";20190000;"Pesquisas ou testes eleitorais";1;"Financeiro";1;"Transferência eletrônica";24869650;17071536;"05/09/2018";"PESQUISAS ELEITORAIS";"25000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"03/04/2019";246962798;"TO";"#NULO";"551867000065213";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";25007479;17217443;"13/09/2018";"#NULO";"200000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"03/04/2019";246962798;"TO";"#NULO";"551867000065216";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";25007284;17217535;"25/09/2018";"#NULO";"100000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"30/01/2019";246964311;"TO";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";24869630;17071466;"11/09/2018";"TARIFAS BANCARIAS";"10,15"
"07/06/2026";"03:00:48";2018;2;"Ordinária";"Final";"30/01/2019";246964311;"TO";"#NULO";"551867000065226";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";24869578;17071519;"02/10/2018";"#NULO";"100000,00"
