"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"17/10/2023";3262631668;"MG";"Outro";"550104000007348";2;"Fundo Especial de Financiamento de Campanha";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";1;"Transferência eletrônica";52140327;38557824;"11/10/2022";"LOCAÇÃO DO SALÃO PRINCIPAL SITUADO NO ANDAR TÉRREO";"2000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"10/07/2025";3262638085;"MG";"#NULO";"81101";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72767903;55145622;"11/08/2022";"#NULO";"6500,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"10/07/2025";3262638085;"MG";"#NULO";"90604";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72768384;55145890;"06/09/2022";"#NULO";"10000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"04/11/2024";3262631068;"MG";"#NULO";"82618";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";66318627;48926402;"26/08/2022";"#NULO";"7500,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"10/07/2025";3262638085;"MG";"#NULO";"551804000070803";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72768690;55145847;"30/08/2022";"#NULO";"28000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"09/11/2022";3262632936;"MG";"#NULO";"550061000091632";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50369485;36448850;"01/09/2022";"#NULO";"250000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"17/10/2024";3262639454;"MG";"#NULO";"146461";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";62366615;45275212;"27/09/2022";"#NULO";"6000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"29/12/2022";3262641418;"MG";"Nota Fiscal";"091904";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";51416535;37717754;"19/09/2022";"713- COLINHAS CANDIDATOS PSD";"15120,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"29/12/2022";3262641418;"MG";"Nota Fiscal";"091904";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";51416533;37717745;"19/09/2022";"719- COLINHAS CANDIDATOS REDE";"41160,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"10/07/2025";3262638085;"MG";"#NULO";"553368000056819";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72768225;55145871;"06/09/2022";"#NULO";"10000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"29/12/2022";3262641418;"MG";"Nota Fiscal";"091904";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";51414970;37717744;"19/09/2022";"690-COLINHAS CANDIDATOS-PT";"39480,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"29/12/2022";3262641418;"MG";"Nota Fiscal";"091904";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";51415935;37717757;"19/09/2022";"716- COLINHAS CANDIDATOS PT";"67200,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"29/12/2022";3262641418;"MG";"Nota Fiscal";"091904";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";51414638;37717743;"19/09/2022";"718- COLINHAS CANDIDATOS REDE";"120120,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"17/10/2024";3262639454;"MG";"#NULO";"150942";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";62366612;45275217;"27/09/2022";"#NULO";"4350,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"21/11/2022";3380721889;"MG";"#NULO";"090809";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50896737;37061751;"08/09/2022";"#NULO";"30000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"16/12/2022";3262640083;"MG";"#NULO";"555679000591601";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51371454;37665291;"28/09/2022";"#NULO";"1700,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"10/07/2025";3262638085;"MG";"#NULO";"554403000024978";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72767623;55145800;"23/08/2022";"#NULO";"15000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"10/07/2025";3262638085;"MG";"#NULO";"554403000024978";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72768389;55145918;"08/09/2022";"#NULO";"10000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"04/11/2022";3262632058;"MG";"#NULO";"90202";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50212547;36262348;"02/09/2022";"#NULO";"5000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3262637272;"MG";"#NULO";"SN";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";48956697;34723096;"02/09/2022";"#NULO";"2500,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"17/10/2023";3262631668;"MG";"#NULO";"554403000025069";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";52140265;38557612;"24/08/2022";"#NULO";"49984,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"07/12/2022";3262632495;"MG";"#NULO";"555910000014575";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51251355;37509321;"26/08/2022";"#NULO";"15000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/12/2022";3262630223;"MG";"#NULO";"552863000435006";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51149863;37381201;"08/09/2022";"#NULO";"40000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"07/12/2022";3262632495;"MG";"#NULO";"555910000014561";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51251556;37509425;"08/09/2022";"#NULO";"15000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"17/10/2023";3262631668;"MG";"#NULO";"550428000098889";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";52140284;38557763;"12/09/2022";"#NULO";"4998,70"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"17/10/2023";3262631668;"MG";"#NULO";"550428000098889";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";52140318;38557762;"13/09/2022";"#NULO";"121466,42"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3262636195;"MG";"Nota Fiscal";"212046";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";6;"Boleto de cobrança";48903285;34657126;"21/09/2022";"GASOLINA COMUM | GASOLINA COMUM | GASOLINA COMUM";"432,74"
