"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"19/11/2022";3262631848;"RS";"#NULO";"090607";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50817734;36968725;"06/09/2022";"#NULO";"2291,67"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"19/11/2022";3262631848;"RS";"#NULO";"91413";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50817783;36968785;"14/09/2022";"#NULO";"2291,67"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"17/11/2022";3263075720;"RS";"Nota Fiscal";"05";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";0;"Cheque";50678224;36812404;"29/09/2022";"20 ADESIVOS 66X39CM";"420,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"05/05/2023";3262634265;"RS";"#NULO";"#NULO";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";8;"Débito em conta";51747446;38097674;"29/08/2022";"#NULO";"5000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"05/05/2023";3262634265;"RS";"#NULO";"83001";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51747447;38097677;"30/08/2022";"#NULO";"3000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"09/11/2022";3262629745;"RS";"Nota Fiscal";"93002";0;"Fundo Partidário";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";50359760;36439215;"30/09/2022";"ADESIVO PERFURADO 0·65X0·635CM GISELE CONSUELO";"143,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"09/11/2022";3262629745;"RS";"Nota Fiscal";"93002";0;"Fundo Partidário";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";50359761;36439217;"30/09/2022";"ADESIVO PERF JOVANI· OSEAS· REGINALDO";"715,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"18/11/2022";3262639893;"RS";"#NULO";"554358000014597";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50703210;36839679;"17/08/2022";"#NULO";"37040,90"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"17/11/2022";3262639709;"RS";"Fatura";"91301";1;"Outros Recursos";20070000;"Locação/cessão de bens móveis (exceto veículos)";1;"Financeiro";1;"Transferência eletrônica";50652104;36780554;"13/09/2022";"LOCAÇÃO DE EQUIPAMENTO DE SONORIZAÇÃO E ILUMINAÇÃO";"9471,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"17/11/2022";3263073784;"RS";"Nota Fiscal";"3";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";0;"Cheque";50674279;36807491;"09/09/2022";"SERVIÇOS CONTABILIDADE";"400,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"05/05/2023";3262634265;"RS";"#NULO";"82608";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51746809;38097745;"26/08/2022";"#NULO";"20000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"05/05/2023";3262634265;"RS";"#NULO";"82602";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51747445;38097670;"26/08/2022";"#NULO";"50000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"19/11/2022";3262631848;"RS";"#NULO";"090617";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50817818;36968735;"06/09/2022";"#NULO";"2291,67"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"22/12/2022";3262756828;"RS";"Recibo";"#NULO";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";5;"Em espécie";51403015;37703236;"29/10/2022";"CRACHÁS";"115,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"09/11/2022";3262629745;"RS";"#NULO";"551889000066649";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50359644;36439153;"01/09/2022";"#NULO";"20000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"05/05/2023";3262634265;"RS";"#NULO";"90802";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51747463;38097820;"08/09/2022";"#NULO";"7000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"25/11/2022";3380719960;"RS";"#NULO";"553866000031917";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51041248;37250139;"21/09/2022";"#NULO";"12000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"11/11/2022";3262635635;"RS";"#NULO";"753487";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50443539;36540679;"12/09/2022";"#NULO";"500,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"31/07/2023";3262632500;"RS";"#NULO";"504769";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51955976;38335966;"16/09/2022";"#NULO";"50000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"18/11/2022";3262639893;"RS";"#NULO";"553240000042843";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50703207;36839646;"17/08/2022";"#NULO";"73422,86"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"05/05/2023";3262634265;"RS";"Nota Fiscal";"041450";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";51746867;38098135;"07/10/2022";"BANDEIRAS";"4800,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"05/05/2023";3262634265;"RS";"#NULO";"552027000036979";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51748222;38097639;"25/08/2022";"#NULO";"5000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"26/01/2023";3262936876;"RS";"Nota Fiscal";"72201";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";51478408;37791331;"22/07/2022";"FOLDERS";"255,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3262632263;"RS";"#NULO";"821237";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";49933150;35930206;"23/09/2022";"#NULO";"8000,00"
