"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3380731422;"SP";"#NULO";"554894000006649";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";49715434;35652716;"15/09/2022";"#NULO";"787500,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"05/12/2024";3262642151;"SP";"#NULO";"7635858";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";71093544;53488137;"02/09/2022";"#NULO";"40000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"16/09/2024";3262639005;"SP";"#NULO";"91203";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";55916015;40920579;"12/09/2022";"#NULO";"5000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3380731422;"SP";"#NULO";"551521000030581";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";49714711;35652948;"28/09/2022";"#NULO";"100000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3380731422;"SP";"#NULO";"551521000030581";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";49713777;35652947;"20/09/2022";"#NULO";"32500,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3380731422;"SP";"Nota Fiscal";"556804000024465";0;"Fundo Partidário";20360002;"Serviços contábeis";1;"Financeiro";1;"Transferência eletrônica";49714740;35652254;"01/09/2022";"SERVICOS PRESTADOS DE CONTABILIDADE ELEICOES 2022";"40000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3262643078;"SP";"#NULO";"556712000008244";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50109612;36132761;"30/09/2022";"#NULO";"30000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3380731422;"SP";"#NULO";"92101";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";49715422;35652621;"21/09/2022";"#NULO";"243750,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"21/02/2025";3262630139;"SP";"Nota Fiscal";"90508";0;"Fundo Partidário";20110000;"Publicidade por adesivos";1;"Financeiro";1;"Transferência eletrônica";71732331;54081612;"05/09/2022";"ADESIVO PARACHOQUE  ESNAR RIBEIRO NF.7732 10X30 | ADESIVO PARACHOQUE CIDINHA FIRMINO NF.7732 10X30 | ADESIVO PARACHOQUE ELAINE GOMES NF.7732 10X30 | ADESIVO PARACHOQUE GLAUCIA BERENICE NF.7732 10X30 | ADESIVO PARACHOQUE MAJOR NETO NF.7732 10X30 | ADE...";"4500,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"27/10/2022";3262640038;"SP";"Nota Fiscal";"93003";1;"Outros Recursos";20150000;"Alimentação";1;"Financeiro";1;"Transferência eletrônica";47893968;33399771;"30/09/2022";"COCA-COLA ORIGINAL PET 2L | COCA-COLA ZERO PET 2L | FANTA UVA PET 2L | FRETE | GELO SÓ-GELO 5KG | GUARANA ANTARCTICA PET 2L | SCHW CITRUS ORIGINAL PET 1·5L | SUCO DEL VALLE GOIABA 1L | SUCO DEL VALLE PESSEGO 1L | ÁGUA MINERAL BONAFONT 500ML";"2306,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"23/11/2024";3262633189;"SP";"#NULO";"554310000010361";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";70703457;53104908;"14/09/2022";"#NULO";"1000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"05/12/2024";3262642151;"SP";"#NULO";"1";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";71093501;53488416;"12/09/2022";"#NULO";"80000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"23/05/2023";3262629272;"SP";"Nota Fiscal";"90102";2;"Fundo Especial de Financiamento de Campanha";20220000;"Produção de programas de rádio, televisão ou vídeo";1;"Financeiro";1;"Transferência eletrônica";51790442;38147154;"01/09/2022";"PRODUÇÃO E DIREÇÃO DE PROPAGANDA ELEITORAL DE TV";"42500,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"11/11/2022";3262631362;"SP";"Nota Fiscal";"92301";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";1;"Transferência eletrônica";50435647;36531656;"23/09/2022";"SERVS DE PREPARACAO E ACOMPANHAMENTO DAS MULHERES";"5400,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"30/11/2022";3262635528;"SP";"#NULO";"91303";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51134212;37363950;"13/09/2022";"#NULO";"6800,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"31/07/2024";3262636100;"SP";"#NULO";"556811000012420";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";52409735;38859939;"02/09/2022";"#NULO";"45000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"01/11/2022";3380731422;"SP";"#NULO";"553021000032252";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";49715077;35652527;"28/09/2022";"#NULO";"90000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"23/11/2024";3262633189;"SP";"Outro";"092105";2;"Fundo Especial de Financiamento de Campanha";20050000;"Despesas com transporte ou deslocamento";1;"Financeiro";1;"Transferência eletrônica";70703434;53105060;"21/09/2022";"NF 1601 | NF 1602 | NF 1603 | NF 1605 | NF 1607 | NF 1609 | NF 1610";"805,86"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"27/11/2024";3262632166;"SP";"Nota Fiscal";"91410";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";6;"Boleto de cobrança";70831556;53233068;"14/09/2022";"SANTINHOS COUCHE BRILHO 902GR FORM 70X100MM 4X4";"2150,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"27/11/2024";3262632166;"SP";"Nota Fiscal";"91411";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";6;"Boleto de cobrança";70833523;53233069;"14/09/2022";"CARDS COUCHE BRILHO 210GR FORM 50X90MM 4X4";"27075,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"27/11/2024";3262632166;"SP";"Nota Fiscal";"91413";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";6;"Boleto de cobrança";70832791;53233071;"14/09/2022";"CARDS COUCHE BRILHO 210GR FORM 50X90MM 4X4";"21375,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"23/11/2024";3262633189;"SP";"#NULO";"082303";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";70703385;53104957;"23/08/2022";"#NULO";"30000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"23/11/2024";3262633189;"SP";"#NULO";"090804";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";70703358;53104958;"08/09/2022";"#NULO";"20000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"03/04/2023";3262630829;"SP";"Nota Fiscal";"738052";0;"Fundo Partidário";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";51675131;38026671;"21/09/2022";"CARDS COUCHE BRILHO 50X90 REFILADOS";"21375,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"03/04/2023";3262630829;"SP";"Nota Fiscal";"738069";0;"Fundo Partidário";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";51675140;38026672;"21/09/2022";"CARDS COUCHE BRILHO 50X90 REFILADOS";"24225,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"22/11/2022";3262643442;"SP";"#NULO";"82911";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50947513;37125833;"29/08/2022";"#NULO";"190347,79"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"27/11/2024";3262632166;"SP";"#NULO";"553008000043220";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";70831924;53232616;"25/08/2022";"#NULO";"15772,70"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"11/11/2022";3262631362;"SP";"#NULO";"550987000075786";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50435578;36531386;"01/09/2022";"#NULO";"10000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"11/11/2022";3262631362;"SP";"#NULO";"92002";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50435733;36531635;"20/09/2022";"#NULO";"100000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"11/11/2022";3262631362;"SP";"#NULO";"90201";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50435752;36531405;"02/09/2022";"#NULO";"63000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"22/11/2022";3262643442;"SP";"#NULO";"82904";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50947512;37125829;"29/08/2022";"#NULO";"8717,89"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"10/11/2022";3262524247;"SP";"Nota Fiscal";"850005";1;"Outros Recursos";20170000;"Energia elétrica";1;"Financeiro";0;"Cheque";50394243;36479442;"21/09/2022";"CONSUMO DE ENERGIA NO COMITÊ DE CAMPANHA REF. SETE";"85,29"
