"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"02/11/2024";5020399586;"AM";"Nota Fiscal";"072";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";65643199;48289613;"27/09/2024";"BANDEIRA TAM 100 X 70 CM | CARTAZ PAPEL COUCHE 115G 30X44CM";"1800,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"02/11/2024";4989240153;"AM";"Fatura";"100203";1;"Outros Recursos";20170000;"Energia elétrica";1;"Financeiro";6;"Boleto de cobrança";65503518;48156966;"02/10/2024";"PAGAMENTO DE CONTA DE ENERGIA";"258,10"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"31/10/2024";4868541862;"AM";"Nota Fiscal";"091001";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";19;"PIX";64825315;47533416;"10/09/2024";"SERVIÇO ADMINISTRATIVO VALDERLI DA CUNHA BERNARDO";"21500,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"13/11/2024";4868541872;"AM";"Outro";"082301";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";69678074;52121472;"23/08/2024";"BANDEIRA EM TECIDO 70X1,10CM IMPRESSÃO DIGITAL  | PRAGUINHA 7X7CM ADESIVO TIPO PAPEL IMPRESSÃO 4/0 | SANTINHOS 7X10CM PAPEL COUCHE 115GR IMPRESSÃO 4X4";"25700,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"13/11/2024";4868541872;"AM";"Outro";"082601";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";69678074;52121473;"26/08/2024";"BANDEIRA EM TECIDO 70X1,10CM IMPRESSÃO DIGITAL  | PRAGUINHA 7X7CM ADESIVO TIPO PAPEL IMPRESSÃO 4/0 | SANTINHOS 7X10CM PAPEL COUCHE 115GR IMPRESSÃO 4X4";"10000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"13/11/2024";4868541872;"AM";"Outro";"082603";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";69678074;52121474;"26/08/2024";"BANDEIRA EM TECIDO 70X1,10CM IMPRESSÃO DIGITAL  | PRAGUINHA 7X7CM ADESIVO TIPO PAPEL IMPRESSÃO 4/0 | SANTINHOS 7X10CM PAPEL COUCHE 115GR IMPRESSÃO 4X4";"70000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"13/11/2024";4868541872;"AM";"Outro";"082604";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";69678074;52121475;"26/08/2024";"BANDEIRA EM TECIDO 70X1,10CM IMPRESSÃO DIGITAL  | PRAGUINHA 7X7CM ADESIVO TIPO PAPEL IMPRESSÃO 4/0 | SANTINHOS 7X10CM PAPEL COUCHE 115GR IMPRESSÃO 4X4";"30000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"13/11/2024";4868541872;"AM";"Outro";"083002";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";69678074;52121476;"30/08/2024";"BANDEIRA EM TECIDO 70X1,10CM IMPRESSÃO DIGITAL  | PRAGUINHA 7X7CM ADESIVO TIPO PAPEL IMPRESSÃO 4/0 | SANTINHOS 7X10CM PAPEL COUCHE 115GR IMPRESSÃO 4X4";"70000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"13/11/2024";4868541872;"AM";"Outro";"090601";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";69678074;52121478;"06/09/2024";"BANDEIRA EM TECIDO 70X1,10CM IMPRESSÃO DIGITAL  | PRAGUINHA 7X7CM ADESIVO TIPO PAPEL IMPRESSÃO 4/0 | SANTINHOS 7X10CM PAPEL COUCHE 115GR IMPRESSÃO 4X4";"90000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"13/11/2024";4868541872;"AM";"Outro";"092002";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";69678074;52121479;"20/09/2024";"BANDEIRA EM TECIDO 70X1,10CM IMPRESSÃO DIGITAL  | PRAGUINHA 7X7CM ADESIVO TIPO PAPEL IMPRESSÃO 4/0 | SANTINHOS 7X10CM PAPEL COUCHE 115GR IMPRESSÃO 4X4";"27955,00"
