"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"09/06/2025";4868533598;"MT";"Outro";"927058562";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72592338;54985988;"09/09/2024";"RECURSO P CANDIDATO PROF MARCIO 10010";"2420,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";4867960630;"MT";"Recibo";"101055";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";63125717;45957635;"10/10/2024";"FISCAL DE URNA CONFORME CONTRATO";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";4867960630;"MT";"Recibo";"101058";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";63125718;45957638;"10/10/2024";"FISCAL DE URNA CONFORME CONTRATO";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";4867960630;"MT";"Recibo";"101065";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";63125702;45957643;"10/10/2024";"FISCAL DE URNA CONFORME CONTRATO";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";4867960626;"MT";"Recibo";"100718";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";63175315;46003366;"06/10/2024";"FISCAL ELEITORAL CONFORME CONTRATO";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"24/10/2024";5000997557;"MT";"Nota Fiscal";"100401";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";63276298;46090403;"04/10/2024";"SANTINHOS 10X7,4X4 CORES, PAPEL COUCHE BRILHO 115G";"230,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";4867960630;"MT";"Recibo";"101052";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";63125707;45957620;"10/10/2024";"FISCAL DE URNA CONFORME CONTRATO";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";4867960630;"MT";"Recibo";"101038";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";63125714;45957621;"10/10/2024";"FISCAL DE URNA CONFORME CONTRATO";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"25/10/2024";4867960632;"MT";"Recibo";"100308";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";63606584;46402823;"03/10/2024";"CABO ELEITORAL CONFORME DESCRITO EM CONTRATO";"940,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"05/11/2024";4868558238;"MT";"Nota Fiscal";"610787000033537";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";1;"Transferência eletrônica";66816795;49402693;"09/09/2024";"ETANOL COMUM";"186,45"
