"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"24/06/2025";4868538362;"PA";"Outro";"44964839000115";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";72606702;55002867;"30/10/2024";"SERVIÇOS AO PSB E 12 CAND. A VEREADORES";"1300,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"01/04/2025";4868551238;"PA";"Outro";"121301";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";72058805;54398521;"13/12/2024";"ASSESSORIA CONTÁBIL";"2500,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"17/10/2024";4909808998;"PA";"Outro";"071559";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";62415556;45319098;"07/09/2024";"MR3041 PRESTAÇÃO DE SERVIÇOS NA CAMPANHA 2024";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"17/10/2024";4909808998;"PA";"Outro";"071643";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";62416744;45319113;"07/09/2024";"MR3057 PRESTAÇÃO DE SERVIÇOS NA CAMPANHA 2024";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"17/10/2024";4909808998;"PA";"Outro";"071644";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";62416745;45319114;"07/09/2024";"MR3058 PRESTAÇÃO DE SERVIÇOS NA CAMPANHA 2024";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"17/10/2024";4909808998;"PA";"Outro";"071736";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";62416451;45319139;"07/09/2024";"MR3085 PRESTAÇÃO DE SERVIÇOS NA CAMPANHA 2024";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"17/10/2024";4909808998;"PA";"Outro";"071742";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";62417033;45319143;"07/09/2024";"MR3089 PRESTAÇÃO DE SERVIÇOS NA CAMPANHA 2024";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"24/10/2024";4868544308;"PA";"Nota Fiscal";"107000";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";1;"Transferência eletrônica";63370676;46180141;"11/10/2024";"SERVIÇOS ADVOCATÍCIOS";"5000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"17/10/2024";4909808998;"PA";"Outro";"900015";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";62415535;45318945;"30/08/2024";"MR2017 PRESTAÇÃO DE SERVIÇOS NA CAMPANHA 2024";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"17/10/2024";4909808998;"PA";"Outro";"131835";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";62417038;45319317;"13/09/2024";"MR4042 PRESTAÇÃO DE SERVIÇOS NA CAMPANHA 2024";"100,00"
