"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"182047";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935768;55350900;"18/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"40610";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935768;55350901;"04/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"182107";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935622;55350920;"18/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"41345";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935622;55350921;"04/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"182119";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935687;55350940;"18/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"41428";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935687;55350941;"04/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"51818";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935590;55350447;"07/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"172123";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935590;55350448;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"172203";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935282;55350477;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"51902";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935282;55350476;"05/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"172216";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935412;55350489;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"51909";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935412;55350488;"05/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"172228";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935414;55350505;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"172242";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935286;55350514;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"52003";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935286;55350513;"05/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"172249";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935287;55350522;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"52009";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935287;55350521;"05/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"172334";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935602;55350587;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"172345";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935520;55350605;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"51702";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935520;55350604;"07/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"51415";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935419;55350612;"07/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"172350";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935419;55350613;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"180002";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935420;55350623;"18/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"50010";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935420;55350622;"05/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"180001";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935293;55350627;"18/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"50009";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935293;55350626;"05/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"50016";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935609;55350640;"07/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"180011";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935609;55350641;"18/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"42247";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935359;55350694;"04/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"171655";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935359;55350695;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"42316";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935674;55350714;"04/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"171730";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935674;55350715;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"171750";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935525;55350729;"17/09/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"14/08/2025";4895695258;"PE";"Outro";"60005";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";19;"PIX";72935525;55350728;"06/10/2024";"MILITÂNCIA";"100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"21/10/2024";4999233576;"PE";"Nota Fiscal";"550640000034078";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";1;"Transferência eletrônica";62814333;45662972;"02/10/2024";"SERVIÇOS TECNICOS CONTABEIS";"1412,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"21/10/2024";4868552847;"PE";"Nota Fiscal";"552683000006957";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";1;"Transferência eletrônica";62816717;45664970;"02/10/2024";"SERVIÇOS JURIDICOS PARA CAMPANHA ELEITORAL";"1412,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"05/11/2024";5009815206;"PE";"Nota Fiscal";"101102";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";66100871;48726083;"11/10/2024";"SERCIÇOS ADVOCATICIOS REF A CAMPANHA ELEITORAL";"1000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"05/11/2024";5009815206;"PE";"Nota Fiscal";"101101";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";66100872;48726084;"11/10/2024";"ASSESSORIA CONTABIL PARA CAMPANHA ELEITORAL";"500,00"
