"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"05/11/2024";4956916727;"PI";"Outro";"092601";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";63460119;46261622;"26/09/2024";"SERVIÇOS ADVOCATICIOS";"10000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"02/11/2024";4868545211;"PI";"Nota Fiscal";"92701";1;"Outros Recursos";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";65638065;48285028;"27/09/2024";"SERVIÇO DE APOIO ADMINISTRATIVO COMITÊ DE CAMPANHA";"2000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"03/11/2024";4988652043;"PI";"Nota Fiscal";"103102";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";65755433;48394703;"31/10/2024";"SERVIÇO ADVOCATICIO, CONFORME CONTRATO";"1412,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"02/11/2024";5047632774;"PI";"Nota Fiscal";"103101";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";65365282;48020467;"31/10/2024";"SERVIÇOS CONTÁBEIS";"2000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"02/11/2024";5020400073;"PI";"Nota Fiscal";"101101";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";65637913;48284807;"11/10/2024";"SERV ADVOCATICIO DURANTE PERIODO ELEITORAL";"2000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"05/11/2024";4868549491;"PI";"Nota Fiscal";"554031000012305";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";1;"Transferência eletrônica";65998797;48627706;"17/10/2024";"SERV. PREST. NA ASSESSORIA E CONSULTORIA CONTÁBIL";"1412,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"04/11/2024";4868542331;"PI";"Nota Fiscal";"100402";0;"Fundo Partidário";20270000;"Diversas a especificar";1;"Financeiro";1;"Transferência eletrônica";66686985;49280188;"04/10/2024";"CONFECÇÃO DE CREDENCIAIS PARA FISCAIS";"1920,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"18/11/2024";4868546721;"PI";"Nota Fiscal";"100401";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";70432953;52850157;"04/10/2024";"VLR REF A SERV CONTABEIS EM PERIODO ELEITORAL";"300,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"24/03/2025";4868542324;"PI";"Outro";"000000000092301";2;"Fundo Especial de Financiamento de Campanha";20360001;"Serviços advocatícios";1;"Financeiro";1;"Transferência eletrônica";71977337;54319634;"23/09/2024";"SERVIÇOS ADVOCATICIOS";"26100,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"18/11/2024";4868546721;"PI";"Nota Fiscal";"100402";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";70432954;52850156;"04/10/2024";"SERVICOS ADVOCATICIOS EM PERIODO ELEITORAL";"300,00"
