"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"22/10/2024";4868537338;"RN";"Outro";"100202";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";62883967;45732055;"02/10/2024";"PRESTAÇÃO DE SERVIÇOS ADVOGATÍCIOS NAS ELEIÇÕES";"2000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"22/10/2024";4868537338;"RN";"Outro";"100301";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";62883967;45732056;"03/10/2024";"PRESTAÇÃO DE SERVIÇOS ADVOGATÍCIOS NAS ELEIÇÕES";"3000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"22/10/2024";4868537338;"RN";"Outro";"100401";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";62883967;45732057;"04/10/2024";"PRESTAÇÃO DE SERVIÇOS ADVOGATÍCIOS NAS ELEIÇÕES";"1000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";5032155607;"RN";"Outro";"100401";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";63154386;45984247;"04/10/2024";"CONTRATO DE PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"1000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";5032155607;"RN";"Outro";"100701";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";63154386;45984248;"05/10/2024";"CONTRATO DE PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"1000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";5032155607;"RN";"Outro";"100702";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";63154386;45984249;"06/10/2024";"CONTRATO DE PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"1000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";5032155607;"RN";"Outro";"100801";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";63154386;45984250;"08/10/2024";"CONTRATO DE PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"1000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";5032155607;"RN";"Outro";"100901";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";63154386;45984251;"09/10/2024";"CONTRATO DE PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"1000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";5032155607;"RN";"Outro";"101001";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";63154386;45984252;"10/10/2024";"CONTRATO DE PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"1000,00"
"14/04/2026";"23:00:12";2024;2;"Ordinária";"Final";"23/10/2024";5032155607;"RN";"Outro";"101101";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";63154386;45984253;"11/10/2024";"CONTRATO DE PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"1000,00"
